date,series_id,value,industry,quarter,index
2022-12-20,A3538849T,17828,Other services,2022-10-01,106.50576497998685
2023-03-20,A3538807V,119067,Mining,2023-01-01,104.80142942646904
2023-03-20,A3538810J,114046,Manufacturing,2023-01-01,101.58642497661782
2023-03-20,A3538813R,26767,"Electricity, gas, water and waste services",2023-01-01,110.58002148227712
2023-03-20,A3538816W,109012,Construction,2023-01-01,95.23360240416535
2023-03-20,A3538819C,179615,Wholesale trade,2023-01-01,108.67644834366965
2023-03-20,A3538822T,137003,Retail trade,2023-01-01,105.92141885205343
2023-03-20,A3538825X,35013,Accommodation and food services,2023-01-01,112.13489623366641
2023-03-20,A3538828F,44762,"Transport, postal and warehousing",2023-01-01,110.14542680676198
2023-03-20,A3538831V,23304,Information media and telecommunications,2023-01-01,128.0861822578872
2023-03-20,A3538834A,17626,Financial and insurance services,2023-01-01,112.38921124784798
2023-03-20,A3538837J,30861,"Rental, hiring and real estate services",2023-01-01,107.34634248147762
2023-03-20,A3538840W,66948,"Professional, scientific and technical services",2023-01-01,113.1184103811841
2023-03-20,A3538846K,10642,Arts and recreation services,2023-01-01,102.92069632495165
2023-03-20,A3538849T,17972,Other services,2023-01-01,107.36603142362148
2023-06-20,A3538807V,120207,Mining,2023-04-01,105.80484455867338
2023-06-20,A3538810J,110902,Manufacturing,2023-04-01,98.78590834186969
2023-06-20,A3538813R,26965,"Electricity, gas, water and waste services",2023-04-01,111.39800049574485
2023-06-20,A3538816W,110684,Construction,2023-04-01,96.69427263514694
2023-06-20,A3538819C,175619,Wholesale trade,2023-04-01,106.25865980940856
2023-06-20,A3538822T,136878,Retail trade,2023-04-01,105.8247773379515
2023-06-20,A3538825X,35034,Accommodation and food services,2023-04-01,112.2021521906226
2023-06-20,A3538828F,46540,"Transport, postal and warehousing",2023-04-01,114.52053446197003
2023-06-20,A3538831V,23524,Information media and telecommunications,2023-04-01,129.29537210069253
2023-06-20,A3538834A,17475,Financial and insurance services,2023-04-01,111.42638525792259
2023-06-20,A3538837J,31749,"Rental, hiring and real estate services",2023-04-01,110.43514557028071
2023-06-20,A3538840W,67205,"Professional, scientific and technical services",2023-04-01,113.55264936469317
2023-06-20,A3538846K,10718,Arts and recreation services,2023-04-01,103.65570599613153
2023-06-20,A3538849T,18748,Other services,2023-04-01,112.00191170320808
2023-09-20,A3538807V,117065,Mining,2023-07-01,103.03929162412422
2023-09-20,A3538810J,111536,Manufacturing,2023-07-01,99.35064356656126
2023-09-20,A3538813R,26806,"Electricity, gas, water and waste services",2023-07-01,110.74113856068743
2023-09-20,A3538816W,111329,Construction,2023-07-01,97.25774889051962
2023-09-20,A3538819C,174191,Wholesale trade,2023-07-01,105.3946452881561
2023-09-20,A3538822T,138162,Retail trade,2023-07-01,106.81747897080653
2023-09-20,A3538825X,34785,Accommodation and food services,2023-07-01,111.40468870099923
